6211EZ,"MULTIPOLYGON(((176661.169 317521.846, 176658.02095 317477.00255, 176637.0225 317497.5603, 176661.169 317521.846)), ((176661.169 317521.846, 176640.9937 317543.2288, 176648.2984 317596.8817, 176689.63705 317590.63015, 176696.388 317529.107, 176661.169 317521.846)))"
6211GA,"POLYGON((176608.8778 317622.8566, 176587.8685 317576.7491, 176545.87495 317607.7428, 176541.8586 317632.0473, 176560.5444 317615.4764, 176588.4221 317637.4762, 176608.8778 317622.8566))"
6211GB,"POLYGON((176623.319 317712.0045, 176654.83745 317633.31795, 176637.3473 317618.7172, 176622.007 317620.493, 176607.60955 317726.76376, 176620.5341 317729.6034, 176623.319 317712.0045))"
6211GC,"POLYGON((176637.3473 317618.7172, 176645.4838 317568.0879, 176640.9937 317543.2288, 176626.956 317541.0536, 176594.0502 317559.7755, 176624.4622 317581.7796, 176622.007 317620.493, 176637.3473 317618.7172))"
6211GD,"POLYGON((176622.007 317620.493, 176624.4622 317581.7796, 176594.0502 317559.7755, 176587.8685 317576.7491, 176613.7411 317615.2926, 176606.86345 317659.63925, 176584.85995 317667.91255, 176601.9019 317684.32385, 176584.80065 317700.3835, 176607.60955 317726.76376, 176622.007 317620.493))"
6211GE,"POLYGON((176590.9398 317690.9074, 176584.85995 317667.91255, 176560 317684.3669, 176584.80065 317700.3835, 176590.9398 317690.9074))"
6211GG,"POLYGON((176648.4133 317600.7209, 176637.3473 317618.7172, 176654.83745 317633.31795, 176673.076467 317621.843867, 176648.4133 317600.7209))"
6211GH,"POLYGON((176642.0619 317696.8278, 176634.8746 317678.7469, 176623.319 317712.0045, 176642.0619 317696.8278))"
6211GJ,"POLYGON((176584.80065 317700.3835, 176559.5754 317688.8183, 176584.85995 317667.91255, 176588.4221 317637.4762, 176560.5444 317615.4764, 176535.4011 317635.1934, 176528.9788 317703.5674, 176584.80065 317700.3835))"
6211GK,"POLYGON((176521.6374 317728.7737, 176607.60955 317726.76376, 176593.7241 317708.4973, 176528.9788 317703.5674, 176512.2663 317721.82958, 176521.6374 317728.7737))"
6211GL,"POLYGON((176594.1956 317742.405, 176603.047 317728.0278, 176521.6374 317728.7737, 176594.1956 317742.405))"
6211GM,"POLYGON((176528.9788 317703.5674, 176535.4011 317635.1934, 176512.5181 317612.6558, 176512.2663 317721.82958, 176528.9788 317703.5674))"
6211GN,"POLYGON((176512.91816 317727.75072, 176509.9283 317617.0377, 176468.9827 317683.8559, 176512.91816 317727.75072))"
6211GP,"POLYGON((176517.9889 317751.443, 176532.3353 317740.1997, 176506.5333 317727.8605, 176488.0988 317756.5422, 176517.9889 317751.443))"
6211GR,"POLYGON((176488.0988 317756.5422, 176506.5333 317727.8605, 176472.4648 317698.0057, 176432.7791 317735.13475, 176410.1305 317715.6411, 176389.17355 317726.8009, 176473.3953 317764.61765, 176488.0988 317756.5422))"
6211GS,"POLYGON((176440.7 317765.6741, 176440.7 317742.2698, 176396.3963 317735.2355, 176379.8468 317757.8774, 176393.7784 317774.6613, 176425.0981 317751.1862, 176440.7 317765.6741))"
6211GT,"POLYGON((176396.3963 317735.2355, 176389.17355 317726.8009, 176408.884 317710.3412, 176353.4524 317690.2641, 176334.0662 317726.7581, 176379.8468 317757.8774, 176396.3963 317735.2355))"
6211GV,"POLYGON((176353.4524 317690.2641, 176338.1775 317666.2169, 176270.38535 317700.81965, 176287.0207 317718.498, 176311.15205 317710.04475, 176334.0662 317726.7581, 176353.4524 317690.2641))"
6211GW,"POLYGON((176408.884 317710.3412, 176390.1388 317643.6127, 176342.8304 317652.0256, 176359.3653 317696.5793, 176408.884 317710.3412))"
6211GX,"POLYGON((176472.4648 317698.0057, 176448.8375 317641.9942, 176428.44935 317642.46875, 176423.9536 317611.0703, 176408.1232 317612.7391, 176390.1388 317643.6127, 176410.1305 317715.6411, 176432.7791 317735.13475, 176472.4648 317698.0057))"
6211GZ,"POLYGON((176499.5568 317618.8452, 176473.6242 317603.9359, 176426.647 317615.3512, 176426.424 317637.9836, 176448.8375 317641.9942, 176468.9827 317683.8559, 176499.5568 317618.8452))"
